Location,Account,Energy Utilisation (%),Time Utilisation (%),Net Rev Exc. VAT/port/day,Energy Throughput/port/day (kWh),GHG Avoided/port/day (kg),Emission-Free Miles/port/day,Equiv. Trees for 10y/port/day,Sessions/port/day,Charging Time (avg),Dwell Time (avg),Overstay Time (avg),Latitude,Longitude,Postcode,Number of Ports,Charger Type,Venue Type,,,,,,,,,,,,,,,,,,
POACHERS,Greene King,5.54%,10.37%,6.632,14.510,12.943,47.882,0.332,0.503,03:06:37,04:54:33,01:47:55,51.35134562,0.523441015,ME5 0NB,4,AC,Pub,,,,,,,,,,,,,,,,,,
PRINCE WALES,Greene King,1.97%,3.20%,2.402,5.146,4.591,16.983,0.118,0.249,02:16:16,03:03:29,00:47:13,51.61060146,-1.243289027,OX11 7NN,2,AC,Pub,,,,,,,,,,,,,,,,,,
RAILWAY INN,Greene King,1.27%,2.81%,1.577,3.335,2.975,11.005,0.076,0.206,02:20:25,03:14:49,00:54:24,50.91576189,-1.25903675,SO30 2DN,4,AC,Pub,,,,,,,,,,,,,,,,,,
RAINDROP,Greene King,1.49%,2.50%,1.772,3.902,3.481,12.878,0.089,0.141,02:42:27,04:13:58,01:31:31,51.66100259,-1.295570199,OX14 5NR,4,AC,Pub,,,,,,,,,,,,,,,,,,
RAVEN HOTEL,Greene King,0.87%,2.06%,0.447,1.043,0.930,3.441,0.024,0.059,01:44:35,03:50:00,02:05:25,51.28062878,-0.962080001,RG27 9HS,6,AC,Pub,,,,,,,,,,,,,,,,,,
RED ARROW,Greene King,0.26%,0.38%,0.320,0.684,0.610,2.257,0.016,0.034,01:48:14,02:37:31,00:49:17,52.45493411,-1.21456398,LE17 4QF,6,AC,Pub,,,,,,,,,,,,,,,,,,
RICHMOND ARMS,Greene King,1.59%,3.84%,1.887,4.156,3.707,13.715,0.095,0.178,04:09:57,05:08:57,00:59:00,50.73657812,-1.865857455,BH8 8UH,2,AC,Pub,,,,,,,,,,,,,,,,,,
ROBIN HOOD CB,Greene King,0.81%,1.48%,1.056,2.122,1.893,7.002,0.049,0.208,01:32:22,01:41:29,00:09:08,52.18394914,0.172619309,CB1 9JL,2,AC,Pub,,,,,,,,,,,,,,,,,,
ROBIN HOOD TN,Greene King,2.85%,5.20%,3.388,7.462,6.656,24.625,0.171,0.269,03:04:15,04:35:38,01:31:24,51.145283,0.2828326,TN2 3TE,2,AC,Pub,,,,,,,,,,,,,,,,,,
ROSE BY NJ,Greene King,0.56%,0.82%,0.662,1.467,1.308,4.841,0.034,0.073,02:10:42,02:38:30,00:27:48,51.43031302,-0.666372689,SL4 2DP,6,AC,Pub,,,,,,,,,,,,,,,,,,
ROSE REVIVED,Greene King,1.33%,2.38%,1.630,3.488,3.111,11.511,0.080,0.257,01:29:23,02:12:23,00:43:00,51.7105623,-1.417315202,OX29 7QD,4,AC,Pub,,,,,,,,,,,,,,,,,,
ROWDEN ARMS,Greene King,1.44%,1.47%,0.067,0.170,0.152,0.562,0.004,0.012,01:20:12,01:22:05,00:01:53,51.45168754,-2.130753114,SN15 2AW,6,AC,Pub,,,,,,,,,,,,,,,,,,
ROYAL GEORGE,Greene King,1.03%,2.80%,0.380,0.972,0.867,3.208,0.022,0.052,02:10:17,04:38:32,02:28:15,51.8282341,-2.109187503,GL4 8JH,4,AC,Pub,,,,,,,,,,,,,,,,,,
ROYAL HORSE,Greene King,1.08%,1.64%,1.327,2.827,2.522,9.330,0.065,0.171,01:36:26,02:16:33,00:40:07,52.269185,-1.536947867,CV34 6GS,6,AC,Pub,,,,,,,,,,,,,,,,,,
ROYAL INN,Greene King,2.83%,4.93%,3.405,7.400,6.601,24.421,0.169,0.366,02:01:57,03:12:21,01:10:24,51.4941805,-2.75763335,BS20 7HG,4,AC,Pub,,,,,,,,,,,,,,,,,,
ROYAL OAK,Greene King,0.80%,0.86%,0.968,2.104,1.877,6.943,0.048,0.114,01:40:23,01:48:17,00:07:55,51.22015648,-1.49894823,SP10 4AJ,6,AC,Pub,,,,,,,,,,,,,,,,,,
ROYAL STAND,Greene King,1.42%,1.45%,1.525,3.721,3.319,12.280,0.085,0.111,02:43:19,03:07:00,00:23:40,51.32723768,-0.754284183,GU15 2PP,6,AC,Pub,,,,,,,,,,,,,,,,,,
SEVEN WELLS,Greene King,0.28%,0.33%,0.347,0.717,0.639,2.366,0.016,0.066,01:08:12,01:10:34,00:02:21,52.89480254,-1.591476686,DE65 6LS,6,AC,Pub,,,,,,,,,,,,,,,,,,
SHERWOOD,Greene King,2.21%,3.83%,2.544,5.780,5.156,19.075,0.132,0.320,01:50:52,02:50:30,00:59:38,53.3488932,-1.400572077,S12 4WG,6,AC,Pub,,,,,,,,,,,,,,,,,,
SIGNAL BOX,Greene King,1.32%,1.86%,1.619,3.466,3.092,11.438,0.079,0.107,03:19:24,04:06:52,00:47:27,52.430744,-1.487271513,CV6 5QS,6,AC,Pub,,,,,,,,,,,,,,,,,,
SILVER FERN,Greene King,1.90%,4.58%,2.290,4.988,4.449,16.460,0.114,0.278,02:51:10,03:55:41,01:04:31,50.85328203,-1.297766238,SO31 9HW,2,AC,Pub,,,,,,,,,,,,,,,,,,
SLOOP INN,Greene King,0.82%,0.97%,1.013,2.136,1.905,7.048,0.049,0.153,01:22:02,01:30:33,00:08:31,50.50016148,-3.578138992,TQ12 5ES,2,AC,Pub,,,,,,,,,,,,,,,,,,
SNOOTY FOX,Greene King,1.73%,2.99%,2.121,4.517,4.029,14.907,0.103,0.233,02:01:45,03:03:42,01:01:56,51.11894365,-0.161886054,RH10 1LX,4,AC,Pub,,,,,,,,,,,,,,,,,,
SPYGLASS KETT,Greene King,0.84%,1.34%,1.061,2.209,1.971,7.291,0.051,0.117,02:07:27,02:43:42,00:36:15,51.35293454,0.580642726,ME8 0PG,6,AC,Pub,,,,,,,,,,,,,,,,,,
ST MARGARETS,Greene King,1.44%,3.69%,1.792,3.771,3.364,12.445,0.086,0.222,01:36:10,03:56:42,02:20:31,52.51924398,-1.491066975,TW1 2LJ,4,AC,Pub,,,,,,,,,,,,,,,,,,
SUNNYSIDE INN,Greene King,2.03%,4.35%,2.489,5.303,4.730,17.500,0.121,0.241,02:36:11,04:17:54,01:41:43,52.79191994,-1.669115641,CV10 8ER,6,AC,Pub,,,,,,,,,,,,,,,,,,
TAP & RAILWAY,Greene King,0.78%,1.00%,0.926,2.050,1.829,6.766,0.047,0.123,01:36:44,01:55:44,00:19:00,50.826735,-1.8896439,BH22 0HX,4,AC,Pub,,,,,,,,,,,,,,,,,,
THE ASCOTT,Greene King,2.55%,3.70%,3.178,6.665,5.945,21.995,0.152,0.365,02:00:26,02:24:37,00:24:11,51.57868364,-0.400296424,HA5 1RJ,4,AC,Pub,,,,,,,,,,,,,,,,,,
THE BELL,Greene King,3.16%,4.92%,3.819,8.278,7.384,27.318,0.189,0.413,02:02:49,02:49:59,00:47:10,52.19044611,-1.728248074,CV37 9HD,4,AC,Pub,,,,,,,,,,,,,,,,,,
THE BELLEMOOR,Greene King,0.93%,1.11%,1.137,2.427,2.164,8.008,0.055,0.142,01:41:18,01:51:36,00:10:17,50.92772241,-1.416388233,SO15 7NU,4,AC,Pub,,,,,,,,,,,,,,,,,,
THE BIG TREE,Greene King,2.65%,5.43%,3.140,6.941,6.191,22.904,0.159,0.299,02:23:45,04:19:39,01:55:54,53.34085022,-1.479278079,S8 0SF,6,AC,Pub,,,,,,,,,,,,,,,,,,
THE BILLESLEY,Greene King,0.77%,1.43%,0.943,2.024,1.806,6.681,0.046,0.110,02:21:45,03:04:57,00:43:12,52.43108871,-1.878245175,B13 0AB,2,AC,Pub,,,,,,,,,,,,,,,,,,
THE BOAT,Greene King,3.03%,5.40%,3.740,7.934,7.078,26.184,0.181,0.394,02:21:17,03:15:45,00:54:28,52.42052704,-1.737120534,B91 2TJ,2,AC,Pub,,,,,,,,,,,,,,,,,,
THE BROADWAY,Greene King,2.73%,4.07%,3.129,7.138,6.367,23.555,0.163,0.272,02:40:02,03:33:24,00:53:22,50.7546388,-1.857144901,BH8 9TG,4,AC,Pub,,,,,,,,,,,,,,,,,,
THE BRUNEL,Greene King,3.64%,10.45%,4.411,9.542,8.511,31.487,0.218,0.367,03:59:13,06:46:13,02:47:00,51.43552439,-2.595103188,BS3 5AZ,4,AC,Pub,,,,,,,,,,,,,,,,,,
THE CHURCHILL,Greene King,3.10%,5.68%,3.369,8.118,7.241,26.789,0.186,0.388,02:01:03,03:29:21,01:28:18,51.54605916,-1.880802502,SN4 8ET,4,AC,Pub,,,,,,,,,,,,,,,,,,
THE COMPASS,Greene King,0.51%,0.76%,0.635,1.330,1.186,4.390,0.030,0.086,01:53:20,02:05:01,00:11:40,56.04057739,-3.366738948,KY11 9NA,6,AC,Pub,,,,,,,,,,,,,,,,,,
THE CRICKETERS,Greene King,5.26%,7.70%,6.078,13.771,12.284,45.446,0.315,0.406,03:32:55,04:30:40,00:57:45,50.83360914,-0.237785391,BN42 4GF,4,AC,Pub,,,,,,,,,,,,,,,,,,
THE DEVON,Greene King,0.51%,0.73%,0.444,1.336,1.191,4.408,0.031,0.093,01:31:34,01:51:53,00:20:19,53.80271,-1.4442663,LS15 8LR,4,AC,Pub,,,,,,,,,,,,,,,,,,
THE DOLPHIN,Greene King,1.10%,2.19%,1.383,2.876,2.565,9.489,0.066,0.179,01:59:38,02:54:35,00:54:58,52.0816602,0.01467616,SG8 6AP,6,AC,Pub,,,,,,,,,,,,,,,,,,
THE GLOSTER,Greene King,8.22%,22.05%,9.786,21.526,19.201,71.035,0.492,0.746,03:23:54,07:02:04,03:38:11,51.28477429,-0.755304284,GU14 7DL,6,AC,Pub,,,,,,,,,,,,,,,,,,
THE GOAT,Greene King,3.36%,5.24%,3.982,8.799,7.849,29.036,0.201,0.286,02:53:33,04:22:00,01:28:26,51.7876579,-0.042447258,SG13 7RT,4,AC,Pub,,,,,,,,,,,,,,,,,,
THE GRANGE,Greene King,3.47%,5.35%,4.151,9.081,8.100,29.966,0.208,0.340,02:43:45,03:44:49,01:01:04,53.39681344,-3.122382076,CH46 6DQ,4,AC,Pub,,,,,,,,,,,,,,,,,,
THE MILL,Greene King,1.27%,2.53%,1.531,3.314,2.956,10.936,0.076,0.163,02:14:01,03:42:12,01:28:11,50.80175252,0.295682957,BN23 8AL,6,AC,Pub,,,,,,,,,,,,,,,,,,
THE NAGS HEAD,Greene King,2.72%,4.48%,3.097,7.134,6.364,23.544,0.163,0.265,02:44:00,04:01:46,01:17:46,51.46256833,0.111544804,DA16 1TR,6,AC,Pub,,,,,,,,,,,,,,,,,,
THE NETHERTON,Greene King,3.29%,4.86%,4.022,8.610,7.680,28.414,0.197,0.382,02:05:43,03:01:38,00:55:54,53.47610607,-2.980476022,L21 5HF,6,AC,Pub,,,,,,,,,,,,,,,,,,
THE OAK TREE,Greene King,0.66%,1.17%,0.774,1.717,1.532,5.667,0.039,0.096,01:42:11,02:54:00,01:11:49,53.13294348,-1.164767316,NG18 4LA,4,AC,Pub,,,,,,,,,,,,,,,,,,
THE PLAINSMAN,Greene King,0.93%,1.29%,1.133,2.424,2.162,7.999,0.055,0.166,01:36:33,01:50:28,00:13:56,52.98396936,-1.123715791,NG3 5JL,4,AC,Pub,,,,,,,,,,,,,,,,,,
THE RED HOUSE,Greene King,2.77%,4.15%,3.014,7.247,6.464,23.914,0.166,0.430,01:48:21,02:17:54,00:29:33,51.64739586,-0.443068774,WD3 3TW,4,AC,Pub,,,,,,,,,,,,,,,,,,
THE ROBIN HOOD,Greene King,0.78%,1.23%,0.933,2.040,1.819,6.731,0.047,0.089,02:23:20,03:17:06,00:53:46,50.95664544,-1.250005967,SO32 2AA,4,AC,Pub,,,,,,,,,,,,,,,,,,
THE ROSEDENE,Greene King,2.02%,3.03%,2.154,5.280,4.710,17.424,0.121,0.223,02:20:08,03:13:53,00:53:46,54.8914021,-1.387506646,SR2 9BT,6,AC,Pub,,,,,,,,,,,,,,,,,,
THE ROYAL OAK,Greene King,1.22%,2.68%,1.446,3.205,2.859,10.576,0.073,0.146,01:41:40,04:21:43,02:40:03,51.33987223,-0.818464766,GU46 7UG,6,AC,Pub,,,,,,,,,,,,,,,,,,
THE SHIP,Greene King,0.87%,1.63%,1.036,2.274,2.029,7.505,0.052,0.074,03:49:17,05:13:01,01:23:44,52.13762033,-0.462468647,MK40 3JB,6,AC,Pub,,,,,,,,,,,,,,,,,,
THE SPORTSMAN,Greene King,1.78%,2.09%,1.960,4.655,4.152,15.360,0.106,0.278,01:31:16,01:47:40,00:16:24,51.42920613,-0.945484995,RG2 7DS,4,AC,Pub,,,,,,,,,,,,,,,,,,
THE SQUIRRELS,Greene King,0.89%,1.38%,1.096,2.322,2.071,7.662,0.053,0.169,01:34:00,01:55:59,00:21:59,52.24311306,-0.944442083,NN5 6JF,4,AC,Pub,,,,,,,,,,,,,,,,,,
THE STAG,Greene King,0.74%,2.30%,0.738,1.602,1.429,5.285,0.037,0.081,01:59:48,05:37:12,03:37:24,50.87303584,-1.574431264,SO43 7BE,4,AC,Pub,,,,,,,,,,,,,,,,,,
THE STAR,Greene King,2.11%,2.94%,2.368,5.515,4.920,18.200,0.126,0.244,02:22:17,02:52:14,00:29:57,51.3716837,0.561217671,ME7 2AA,6,AC,Pub,,,,,,,,,,,,,,,,,,
THE SWAN,Greene King,0.95%,1.89%,1.167,2.491,2.222,8.221,0.057,0.102,02:41:24,04:25:11,01:43:48,52.1442866,-0.528292268,MK43 8LT,6,AC,Pub,,,,,,,,,,,,,,,,,,
THE TESTWOOD,Greene King,1.02%,1.13%,1.227,2.678,2.388,8.836,0.061,0.101,02:27:58,02:40:18,00:12:20,50.92730354,-1.500028233,SO40 3ND,6,AC,Pub,,,,,,,,,,,,,,,,,,
THE THRASHER,Greene King,0.33%,0.32%,0.219,0.873,0.778,2.879,0.020,0.063,01:06:11,01:12:14,00:06:03,52.03127315,1.201795104,IP3 9RZ,4,AC,Pub,,,,,,,,,,,,,,,,,,
THE WALKFORD,Greene King,0.68%,1.15%,0.870,1.780,1.588,5.874,0.041,0.119,01:55:08,02:17:40,00:22:32,50.75005701,-1.69022336,BH23 5QF,4,AC,Pub,,,,,,,,,,,,,,,,,,
THE WARREN,Greene King,1.78%,2.31%,2.026,4.665,4.161,15.393,0.107,0.166,02:50:24,03:17:56,00:27:32,52.40320552,-0.713661326,NN16 8FD,4,AC,Pub,,,,,,,,,,,,,,,,,,
THE WELBY,Greene King,1.17%,1.54%,1.490,3.058,2.728,10.093,0.070,0.204,01:39:01,01:47:28,00:08:27,52.77257591,-0.89390721,LE13 0PX,4,AC,Pub,,,,,,,,,,,,,,,,,,
TREE TOPS,Greene King,1.18%,1.90%,1.309,3.098,2.763,10.222,0.071,0.194,01:42:06,02:20:10,00:38:04,52.98973569,-1.113625673,NG3 5RF,6,AC,Pub,,,,,,,,,,,,,,,,,,
TUDOR ARMS,Greene King,2.57%,4.58%,3.122,6.717,5.991,22.166,0.154,0.292,02:24:41,03:44:19,01:19:38,51.67341668,-0.385066247,WD24 7TQ,4,AC,Pub,,,,,,,,,,,,,,,,,,
TWO CHIMNEYS,Greene King,0.31%,0.41%,0.378,0.816,0.728,2.694,0.019,0.072,01:11:03,01:20:38,00:09:36,51.98777278,-0.247027732,SG6 4JS,6,AC,Pub,,,,,,,,,,,,,,,,,,
UNICORN,Greene King,0.56%,0.76%,0.690,1.456,1.299,4.804,0.033,0.082,01:52:57,02:13:13,00:20:16,52.41562515,-1.577975175,CV5 7LN,4,AC,Pub,,,,,,,,,,,,,,,,,,
VICTORY INN,Greene King,0.14%,0.19%,0.172,0.364,0.325,1.202,0.008,0.036,01:02:00,01:13:18,00:11:18,51.6058648,0.692288573,SS4 3EU,6,AC,Pub,,,,,,,,,,,,,,,,,,
WATERS EDGE,Greene King,1.65%,2.59%,2.064,4.315,3.849,14.239,0.099,0.310,01:36:34,01:59:12,00:22:38,52.94613553,-1.166406953,NG7 1GX,4,AC,Pub,,,,,,,,,,,,,,,,,,
WE ANCHOR,Greene King,1.04%,1.24%,1.282,2.712,2.419,8.951,0.062,0.150,01:44:25,01:58:31,00:14:06,51.46642551,0.085153411,DA16 3RW,6,AC,Pub,,,,,,,,,,,,,,,,,,
WEALDEN HALL,Greene King,0.55%,0.70%,0.708,1.451,1.294,4.788,0.033,0.085,01:43:19,01:57:05,00:13:46,51.2980431,0.442316865,ME20 6DE,4,AC,Pub,,,,,,,,,,,,,,,,,,
WEATHERVANE,Greene King,2.46%,4.51%,2.904,6.431,5.736,21.221,0.147,0.435,01:26:14,02:27:59,01:01:45,52.97116007,-2.087146042,ST3 7WA,6,AC,Pub,,,,,,,,,,,,,,,,,,
WEE WAIF,Greene King,0.90%,2.36%,1.068,2.362,2.107,7.794,0.054,0.132,02:13:12,04:16:29,02:03:17,51.47496837,-0.889793253,RG10 9RJ,4,AC,Pub,,,,,,,,,,,,,,,,,,
WELCOME INN,Greene King,2.81%,6.26%,3.366,7.368,6.573,24.315,0.169,0.308,02:58:38,04:50:21,01:51:43,50.96438367,-1.322138916,SO50 8LP,2,AC,Pub,,,,,,,,,,,,,,,,,,
WELLINGTON,Greene King,1.07%,1.68%,1.304,2.795,2.493,9.222,0.064,0.122,02:30:01,03:16:04,00:46:02,53.35321723,-3.005234518,CH63 7PW,6,AC,Pub,,,,,,,,,,,,,,,,,,
WENTWORTH,Greene King,0.59%,0.85%,0.722,1.540,1.373,5.081,0.035,0.080,01:49:54,02:32:54,00:43:01,52.55773007,-1.3062433,LE9 7SG,6,AC,Pub,,,,,,,,,,,,,,,,,,
WHEATPIECES,Greene King,2.30%,4.74%,2.800,6.015,5.366,19.850,0.138,0.299,02:11:12,03:46:29,01:35:17,51.98579921,-2.14520955,GL20 7RW,4,AC,Pub,,,,,,,,,,,,,,,,,,
WHEATSHEAF,Greene King,0.32%,0.43%,0.381,0.818,0.730,2.699,0.019,0.057,01:36:50,01:43:28,00:06:38,51.36140181,1.06530236,CT5 2LU,6,AC,Pub,,,,,,,,,,,,,,,,,,
WHEELHOUSE,Greene King,1.04%,1.67%,1.282,2.729,2.434,9.006,0.062,0.160,01:53:05,02:28:48,00:35:43,52.95512319,-1.210960844,NG8 2BH,4,AC,Pub,,,,,,,,,,,,,,,,,,
WHITE HART,Greene King,1.45%,2.96%,1.761,3.792,3.383,12.515,0.087,0.133,04:03:58,05:18:55,01:14:57,50.79217847,-1.138908792,PO12 1SE,2,AC,Pub,,,,,,,,,,,,,,,,,,
WHITE HORSE,Greene King,0.76%,1.14%,0.950,1.979,1.765,6.531,0.045,0.108,02:00:36,02:30:38,00:30:02,51.48308642,-0.964335387,RG4 8SD,4,AC,Pub,,,,,,,,,,,,,,,,,,
WHITE-HORSE,Greene King,2.39%,3.11%,2.866,6.271,5.594,20.695,0.143,0.293,01:58:29,02:31:41,00:33:12,51.90670654,-1.146253519,OX26 4UA,4,AC,Pub,,,,,,,,,,,,,,,,,,
WHITTINGTON,Greene King,8.02%,16.03%,9.564,20.995,18.727,69.283,0.480,0.661,03:20:32,05:46:13,02:25:40,51.5859488,-0.3810344,HA5 5JS,4,AC,Pub,,,,,,,,,,,,,,,,,,
WILL CAMDEN,Greene King,0.74%,0.99%,0.693,1.931,1.722,6.371,0.044,0.082,02:10:53,02:53:58,00:43:05,51.46347733,0.132297529,DA7 4EQ,6,AC,Pub,,,,,,,,,,,,,,,,,,
WILL CAMDEN,Greene King,0.88%,0.79%,0.063,0.108,0.096,0.356,0.002,0.004,00:43:58,00:57:00,00:13:02,51.46347,0.13239,DA7 4EQ,2,DC50,Pub,,,,,,,,,,,,,,,,,,
WINNING PST,Greene King,1.62%,2.39%,12.021,18.958,16.911,62.563,0.434,0.511,00:40:57,00:43:38,00:02:41,51.446632,-0.358091,TW2 6LS,4,DC150,Hub+,,,,,,,,,,,,,,,,,,
ATRIUM,Aberdeen,6.77%,12.59%,7.172,17.870,15.940,58.972,0.409,0.757,02:37:21,03:59:31,01:22:10,51.337669,-0.749191,GU15 3GG,10,AC,Retail,,,,,,,,,,,,,,,,,,
BISHOP AUCK,Aberdeen,4.02%,5.85%,37.446,72.438,64.615,239.046,1.657,2.255,00:34:49,00:37:23,00:02:34,54.640072,-1.695476,DL14 9FA,2,DC150,Hub+,,,,,,,,,,,,,,,,,,
BISHOP AUCK,Aberdeen,8.78%,6.65%,26.118,52.692,47.001,173.882,1.205,2.108,00:41:11,00:45:26,00:04:15,54.640099,-1.69542,DL14 9FA,2,DC50,Hub+,,,,,,,,,,,,,,,,,,
BISHOP AUCK,Aberdeen,1.58%,2.23%,1.498,4.165,3.715,13.745,0.095,0.376,01:04:27,01:15:18,00:10:52,54.640163,-1.695292,DL14 9FA,4,AC,Hub+,,,,,,,,,,,,,,,,,,
BROTHER,Aberdeen,2.05%,5.84%,38.458,73.828,65.855,243.633,1.689,2.047,00:37:34,00:41:04,00:03:30,52.599735,-0.265105,PE4 6ZR,8,DC300,Hub+,,,,,,,,,,,,,,,,,,
CHARLTON,Aberdeen,3.27%,5.84%,2.974,6.411,5.719,21.156,0.147,0.633,01:33:59,01:38:32,00:04:33,51.487625,0.027307,SE7 7FA,16,AC,Retail,,,,,,,,,,,,,,,,,,
CROYDON,Aberdeen,21.36%,39.42%,213.175,384.466,342.944,1268.739,8.793,9.064,00:59:54,01:02:38,00:02:43,51.378239,-0.123298,CR0 4YA,8,DC150,Hub+,,,,,,,,,,,,,,,,,,
EASTERN,Aberdeen,10.06%,13.98%,100.512,181.019,161.469,597.362,4.140,4.077,00:46:21,00:48:55,00:02:34,51.582817,0.167331,RM7 7EX,4,DC150,Hub+,,,,,,,,,,,,,,,,,,
EASTERN,Aberdeen,7.16%,17.24%,156.864,257.904,230.050,851.082,5.899,5.029,00:47:26,00:49:44,00:02:18,51.582771,0.167402,RM7 7EX,4,DC300,Hub+,,,,,,,,,,,,,,,,,,
HAGLEY ROAD,Aberdeen,3.33%,4.17%,33.441,59.874,53.407,197.583,1.369,1.453,00:36:41,00:41:05,00:04:24,52.471687,-1.923476,B16 8PE,4,DC150,Hub+,,,,,,,,,,,,,,,,,,
HAGLEY ROAD,Aberdeen,1.80%,1.78%,6.839,10.826,9.657,35.726,0.248,0.279,00:59:27,01:19:49,00:20:21,52.471558,-1.923435,B16 8PE,4,DC50,Hub+,,,,,,,,,,,,,,,,,,
HAGLEY ROAD,Aberdeen,0.77%,1.11%,0.780,2.035,1.816,6.717,0.047,0.041,03:42:50,05:47:15,02:04:25,52.471691,-1.924033,B16 8PE,6,AC,Hub+,,,,,,,,,,,,,,,,,,
PARKWAY,Aberdeen,4.07%,8.90%,4.028,10.735,9.575,35.424,0.246,0.475,02:21:54,04:29:35,02:07:41,51.403557,-1.323241,RG14 1AY,10,AC,Retail,,,,,,,,,,,,,,,,,,
SLOUGH,Aberdeen,17.88%,34.14%,167.847,321.902,287.136,1062.275,7.362,9.523,00:46:31,00:51:58,00:05:27,51.50631,-0.596892,SL1 2NE,4,DC150,Hub+,,,,,,,,,,,,,,,,,,
SLOUGH,Aberdeen,12.90%,34.37%,242.050,464.239,414.101,1531.989,10.618,10.941,00:43:06,00:45:14,00:02:08,51.506237,-0.596942,SL1 2NE,4,DC300,Hub+,,,,,,,,,,,,,,,,,,
SLOUGH,Aberdeen,15.45%,36.54%,17.362,40.797,36.391,134.632,0.933,2.083,02:27:06,04:05:08,01:38:01,51.506207,-0.597253,SL1 2NE,4,AC,Hub+,,,,,,,,,,,,,,,,,,
ST MARKS,Aberdeen,2.78%,3.52%,1.827,7.326,6.535,24.177,0.168,0.402,01:54:53,02:06:01,00:11:08,53.224926,-0.544954,LN5 7EX,6,AC,Retail,,,,,,,,,,,,,,,,,,
THE CHIMES,Aberdeen,4.64%,10.47%,4.842,12.238,10.917,40.387,0.280,0.768,01:57:05,03:16:12,01:19:07,51.545868,-0.475807,UB8 1GA,14,AC,Retail,,,,,,,,,,,,,,,,,,
WATER GARDENS,Aberdeen,8.06%,14.16%,7.038,21.268,18.971,70.183,0.486,1.203,01:56:42,02:49:31,00:52:49,51.76656,0.093622,CM20 1AR,12,AC,Retail,,,,,,,,,,,,,,,,,,
NEWBURY,Aviva,27.03%,42.24%,325.285,486.567,434.018,1605.672,11.129,10.340,00:56:53,00:58:50,00:01:56,51.574665,0.082138,IG2 6QG,2,DC150,Hub+,,,,,,,,,,,,,,,,,,
NEWBURY,Aviva,9.53%,9.07%,21.256,33.444,29.832,110.366,0.765,1.015,01:00:33,01:02:50,00:02:17,51.57468,0.082229,IG2 6QG,4,DC50,Hub+,,,,,,,,,,,,,,,,,,
AYLESBURY,Aviva,2.41%,3.61%,6.130,9.631,8.591,31.782,0.220,0.309,00:31:56,00:37:16,00:05:20,51.819138,-0.810419,HP20 1DG,4,DC150,Hub+,,,,,,,,,,,,,,,,,,
AYLESBURY,Aviva,1.43%,1.17%,1.130,1.907,1.701,6.294,0.044,0.078,00:36:42,00:47:52,00:11:10,51.81921,-0.810541,HP20 1DG,2,DC50,Hub+,,,,,,,,,,,,,,,,,,
ASHFORD,MAG,5.34%,10.33%,7.317,13.988,12.477,46.159,0.320,0.922,02:15:25,02:39:57,00:24:32,51.1339,0.875135,TN24 0SD,10,AC,Retail,,,,,,,,,,,,,,,,,,
BRIDGEND,MAG,4.85%,6.57%,6.681,12.696,11.325,41.897,0.290,0.961,01:28:10,01:37:44,00:09:35,51.53207,-3.577278,CF32 9SU,14,AC,Retail,,,,,,,,,,,,,,,,,,
CHESHIRE OAKS,MAG,14.12%,20.29%,19.207,36.975,32.981,122.016,0.846,2.130,01:58:56,02:16:06,00:17:10,53.266029,-2.880992,CH65 9JJ,12,AC,Retail,,,,,,,,,,,,,,,,,,
EAST MIDS,MAG,3.61%,4.77%,5.040,9.443,8.424,31.163,0.216,0.814,01:15:51,01:23:45,00:07:54,53.107674,-1.311995,DE55 2JW,18,AC,Retail,,,,,,,,,,,,,,,,,,
SWINDON,MAG,1.58%,2.09%,0.789,1.598,1.426,5.275,0.037,0.102,01:39:54,01:52:46,00:12:52,51.564945,-1.796999,SN2 2DY,20,AC,Retail,,,,,,,,,,,,,,,,,,
SWINDON,MAG,3.23%,3.36%,4.299,7.432,6.629,24.525,0.170,0.223,00:55:46,01:23:01,00:27:15,51.565166,-1.796487,SN2 2DY,4,DC50,Retail,,,,,,,,,,,,,,,,,,
WEST MIDS,MAG,11.14%,17.48%,2.941,7.559,6.743,24.946,0.173,0.589,01:25:51,01:49:59,00:24:08,52.688568,-2.014562,WS11 7JZ,10,AC,Retail,,,,,,,,,,,,,,,,,,
YORK,MAG,10.73%,17.05%,14.727,28.099,25.064,92.726,0.643,1.851,01:41:57,02:11:36,00:29:39,53.923706,-1.077843,YO19 4TA,16,AC,Retail,,,,,,,,,,,,,,,,,,
AT EXPRESS,Merlin,10.37%,21.06%,12.055,27.372,24.416,90.329,0.626,0.884,03:43:38,05:42:54,01:59:16,52.990532,-1.887819,ST10 4DB,10,AC,Attraction,,,,,,,,,,,,,,,,,,
AT HOTEL,Merlin,14.91%,48.70%,15.924,39.375,35.123,129.938,0.901,1.251,06:15:23,09:20:49,03:05:26,52.985329,-1.873948,ST10 4DB,6,AC,Hotel,,,,,,,,,,,,,,,,,,
AT SPLASH,Merlin,11.65%,28.54%,12.755,30.759,27.437,101.504,0.704,0.986,03:29:48,06:56:41,03:26:53,52.985535,-1.876515,ST10 4DB,10,AC,Hotel,,,,,,,,,,,,,,,,,,
LEGO HOTEL,Merlin,5.62%,18.37%,6.044,14.844,13.241,48.985,0.340,0.558,02:59:56,07:53:54,04:53:58,51.464897,-0.644012,SL4 4AY,10,AC,Hotel,,,,,,,,,,,,,,,,,,
